doi,abstract,detected_compounds,detection_number,actual_compound,actual_compnum
10.1021/acs.jnatprod.9b00004,"Nine previously undescribed prenylated p-terphenyls, prenylterphenyllins F-J (1, 2, 4-6) and prenylcandidusins D-G (3, 7-9), were isolated from an endophytic fungus, Aspergillus candidus LDJ-5. Their structures were determined from NMR and MS data. Differing from previously reported p-terphenyls, compound 3 represents a rare 6,5,6,6-fused ring system. Compounds 4-6 are antimicrobial, and compounds 1, 4, 6, and 9 are cytotoxic.","['Prenylcandidusin D', 'Prenylcandidusin E', 'Prenylcandidusin F', 'Prenylcandidusin G', 'Prenylterphenyllin F', 'Prenylterphenyllin G', 'Prenylterphenyllin H', 'Prenylterphenyllin I', 'Prenylterphenyllin J']",9,"['Prenylterphenyllin F', 'Prenylterphenyllin G', 'Prenylterphenyllin H', 'Prenylterphenyllin I', 'Prenylterphenyllin J', 'Prenylcandidusin D', 'Prenylcandidusin E', 'Prenylcandidusin F', 'Prenylcandidusin G']",9
10.1073/pnas.1919245117,"Bacterial specialized metabolites are increasingly recognized as important factors in animal-microbiome interactions: for example, by providing the host with chemical defenses. Even in chemically rich animals, such compounds have been found to originate from individual members of more diverse microbiomes. Here, we identified a remarkable case of a moderately complex microbiome in the sponge host ",[],0,"['Mycalamide A', 'Pateamine A']",2
10.3390/toxins12040232,"Meiktila Lake is a shallow reservoir located close to Meiktila city in central Myanmar. Its water is used for irrigation, domestic purposes and drinking water. No detailed study of the presence of cyanobacteria and their potential toxin production has been conducted so far. To ascertain the cyanobacterial composition and presence of cyanobacterial toxins in Meiktila Lake, water samples were collected in March and November 2017 and investigated for physico-chemical and biological parameters. Phytoplankton composition and biomass determination revealed that most of the samples were dominated by the cyanobacterium ",[],0,"['MC-ER', '[D-Asp3]MC-(H2)YR', '[D-Asp3]MC-RE', 'MC-RE', 'MC-(H2)YG', 'MC-RM', 'MC-(H2)YA', 'MC-EE', '[Asp3]MC-LE', 'MC-LE', 'MC-HilA', 'MC-HilAba', 'MC-FV', 'MC-WV']",14
10.1021/acs.est.9b07334,"Intensified cyanobacterial bloom events are of increasing global concern because of adverse effects associated with the release of bioactive compounds, including toxic cyanopeptides. Cyanobacteria can produce a variety of cyanopeptides, yet our knowledge about their abundance and co-production remains limited. We applied a suspect-screening approach, including 700 structurally known cyanopeptides, and identified 11 cyanopeptides in Microcystis aeruginosa and 17 in Dolichospermum flos-aquae. Total cyanopeptide concentrations ranged from high nmol to μmol gdry-1 with slightly higher cell quotas in the mid-exponential growth phase. Relative cyanopeptide profiles were unchanged throughout the growth cycle. We demonstrate that quantification based on microcystin-LR equivalents can introduce an error of up to 6-fold and recommend a class-equivalent approach instead. In M. aeruginosa, rarely studied cyclamides dominated (>80%) over cyanopeptolins and microcystins. While all nutrient reductions caused less growth, only lowering phosphorous and micronutrients reduced cyanopeptide production by M. aeruginosa. Similar trends were observed for D. flos-aquae and only lowering nitrogen decreased cyanopeptide production while the relative abundance of individual cyanopeptides remained stable. The synchronized production of other cyanopeptides along with microcystins emphasizes the need to make them available as reference standards to encourage more studies on their occurrence in blooms, persistence, and potential toxicity. ",[],0,['Aerucyclamide DSO2'],1
10.1371/journal.pone.0229925,"Basidiomycete fungi are a rich source of natural products with a diverse array of potentially exploitable bioactivities. Two dimeric sesquiterpenes, bovistol B (1) and D (2), and one monomeric sesquiterpene, strossmayerin (7), were isolated from the culture filtrate of the basidiomycete fungus Coprinopsis strossmayeri. The structures were determined through a combination of MS and 1D/2D NMR spectroscopic techniques. Likely monomeric precursors, identified on the basis of HRMS analysis, allow a plausible biosynthetic pathway to be proposed for the biosynthesis of 1 and 2, involving the dimerisation of the monomer through a hetero-Diels-Alder mechanism. A gene cluster, including a putative sesquiterpene 1-11 cyclase, was identified through phylogenetic and RNA-seq analysis, and is proposed to be responsible for the biosynthesis of 1 and 2.","['Bovistol B', 'Bovistol D', 'Strossmayerin']",3,"['Bovistol D', 'Strossmayerin']",2
10.1021/jacs.9b13786,"This report describes the first application of the novel NMR-based machine learning tool ""Small Molecule Accurate Recognition Technology"" (SMART 2.0) for mixture analysis and subsequent accelerated discovery and characterization of new natural products. The concept was applied to the extract of a filamentous marine cyanobacterium known to be a prolific producer of cytotoxic natural products. This environmental Symploca extract was roughly fractionated, and then prioritized and guided by cancer cell cytotoxicity, NMR-based SMART 2.0, and MS2-based molecular networking. This led to the isolation and rapid identification of a new chimeric swinholide-like macrolide, symplocolide A, as well as the annotation of swinholide A, samholides A-I, and several new derivatives. The planar structure of symplocolide A was confirmed to be a structural hybrid between swinholide A and luminaolide B by 1D/2D NMR and LC-MS2 analysis. A second example applies SMART 2.0 to the characterization of structurally novel cyclic peptides, and compares this approach to the recently appearing ""atomic sort"" method. This study exemplifies the revolutionary potential of combined traditional and deep learning-assisted analytical approaches to overcome longstanding challenges in natural products drug discovery. ","['Samholide A', 'Samholide B', 'Samholide C', 'Samholide D', 'Samholide E', 'Samholide F', 'Samholide G', 'Samholide H', 'Samholide I']",9,['Symplocolide A'],1
10.1038/s41429-019-0223-7,"The bioassay-guided fractionation from cultures of the actinobacterium Saccharothrix xinjiangensis Act24Zk, collected from the Caspian Sea beach in Iran led to the isolation of three new compounds, caerulomycin M (1), saccharopyrone (2), and saccharonoic acid (3), together with the known compound, caerulomycin A (4). Their structures were elucidated from HR-ESIMS and 1D and 2D NMR data. Compound 2 displayed moderate cytotoxic activity against the human cervix carcinoma HeLa cells KB3.1 with an IC50 value of 5.4 µM.","['Caerulomycin A', 'Caerulomycin M', 'Saccharonoic acid', 'Saccharopyrone']",4,"['Caerulomycin M', 'Saccharopyrone', 'Saccharonoic acid']",3
10.1016/j.chemosphere.2020.125961,"Cyanobacteria can form extensive blooms in water with concurrent production and release of a large number of chemically diverse and bioactive metabolites, including hazardous toxins. Significant number of the metabolites belongs to non-ribosomal peptides, with unique residues, unusual structures and great potential for biotechnological application. The biosynthetic pathways of the peptides generate tens of variants, but only part of them has been identified. Microginins are an understudied class of cyanobacterial linear peptides with a characteristic decanoic acid derivative amino acid residue in their structure. In this study, cyanobacterial blooms and isolated strains from Greek lakes were analyzed for the presence of microginins by liquid chromatography coupled to hybrid triple quadrupole/linear ion trap mass spectrometer (LC-qTRAP MS/MS). Microginin structures were elucidated based on the obtained fragmentation spectra. A large number of microginins occurred in blooms of Greek freshwaters and the most frequently detected were Microginin FR1 (70% of samples), Microginin T1 (52%), Microginin 565B (52%), Microginin T2 (43%), and Microginin 565A (43%). Additionally, nine cyanobacterial strains i.e. Nostoc oryzae, Synechococcus sp., Microcystis aeruginosa, Microcystis viridis, and five Microcystis sp., were found to produce microginins. Thirty-six new microginin structures were characterized out of fifty-one totally detected variants. This is the first time that such a diversity of microginins is reported to be present in water bodies. Results clearly demonstrate the great metabolomic potential of cyanobacteria that inhabit Greek freshwaters and significantly expand the knowledge of cyanobacterial secondary metabolites with regards to the class of microginins.",[],0,"['Microginin 755B', 'Microginin 771', 'Microginin 711', 'Microginin 741A', 'Microginin 741C', 'Microginin 791', 'Microginin 739B', 'Microginin 743', 'Microginin 761A', 'Microginin 741B', 'Microginin 729', 'Microginin 747B', 'Microginin 715', 'Microginin 761B', 'Microginin 725', 'Microginin 757B', 'Microginin 713B', 'Microginin 747A', 'Microginin 765', 'Microginin 620A', 'Microginin 620B', 'Microginin 649', 'Microginin 683', 'Microginin 717', 'Microginin 606A', 'Microginin 606B', 'Microginin 590B', 'Microginin 578A', 'Microginin 578C', 'Microginin 580', 'Microginin 576', 'Microginin 598', 'Microginin 550', 'Microginin 534', 'Microginin 568']",35
10.1021/acschembio.9b00992,"Marine cyanobacteria (blue-green algae) have been shown to possess an enormous capacity to produce structurally diverse natural products that exhibit a broad spectrum of potent biological activities, including cytotoxic, antifungal, antiparasitic, antiviral, and antibacterial activities. Using mass-spectrometry-guided fractionation together with molecular networking, cyanobacterial field collections from American Samoa and Palmyra Atoll yielded three new cyclic peptides, tutuilamides A-C. Their structures were established by spectroscopic techniques including 1D and 2D NMR, HR-MS, and chemical derivatization. Structure elucidation was facilitated by employing advanced NMR techniques including nonuniform sampling in combination with the 1,1-ADEQUATE experiment. These cyclic peptides are characterized by the presence of several unusual residues including 3-amino-6-hydroxy-2-piperidone and 2-amino-2-butenoic acid, together with a novel vinyl chloride-containing residue. Tutuilamides A-C show potent elastase inhibitory activity together with moderate potency in H-460 lung cancer cell cytotoxicity assays. The binding mode to elastase was analyzed by X-ray crystallography revealing a reversible binding mode similar to the natural product lyngbyastatin 7. The presence of an additional hydrogen bond with the amino acid backbone of the flexible side chain of tutuilamide A, compared to lyngbyastatin 7, facilitates its stabilization in the elastase binding pocket and possibly explains its enhanced inhibitory potency.","['Tutuilamide A', 'Tutuilamide B', 'Tutuilamide C']",3,"['Tutuilamide A', 'Tutuilamide B', 'Tutuilamide C']",3
10.1021/acscentsci.9b01076,"Escherichia coli is a common inhabitant of the human microbiota and a beacon model organism in biology. However, an understanding of its signaling systems that regulate population-level phenotypes known as quorum sensing remain incomplete. Here, we define the structure and biosynthesis of autoinducer-3 (AI-3), a metabolite of previously unknown structure involved in the pathogenesis of enterohemorrhagic E. coli (EHEC). We demonstrate that novel AI-3 analogs are derived from threonine dehydrogenase (Tdh) products and ""abortive"" tRNA synthetase reactions, and they are distributed across a variety of Gram-negative and Gram-positive bacterial pathogens. In addition to regulating virulence genes in EHEC, we show that the metabolites exert diverse immunological effects on primary human tissues. The discovery of AI-3 metabolites and their biochemical origins now provides a molecular foundation for investigating the diverse biological roles of these elusive yet widely distributed bacterial signaling molecules. ",[],0,['Autoinducer III'],1
